pabq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subjectkey,src_subject_id,interview_age,interview_date,sex,pabq1a,pabq1b,pabq1c,pabq1d,pabq1e,pabq1f,pabq2a,pabq2b,pabq2c,pabq2d,pabq2e,pabq2f,pabq3a,pabq3b,pabq3c,pabq3d,pabq3e,pabq3f,pabq4a,pabq4b,pabq4c,pabq4d,pabq4e,pabq4f,pabq5a,pabq5b,pabq5c,pabq5d,pabq5e,pabq5f,pabq6a,pabq6b,pabq6c,pabq6d,pabq6e,pabq6f,pabq7a,pabq7b,pabq7c,pabq7d,pabq7e,pabq7f,pabq8a,pabq8b,pabq8c,pabq8d,pabq8e,pabq8f,pabq9a,pabq9b,pabq9c,pabq9d,pabq9e,pabq9f,pabq10a,pabq10b,pabq10c,pabq10d,pabq10e,pabq10f,pabq11a,pabq11b,pabq11c,pabq11d,pabq11e,pabq11f,pabq12a,pabq12b,pabq12c,pabq12d,pabq12e,pabq12f,distress_reactions,punitive_reactions,expressive_encouragement,emotion_focused_reactions,problem_focused_reactions,minimization_reactions,ccnes_1a,ccnes_1b,ccnes_1c,ccnes_1d,ccnes_1e,ccnes_1f,ccnes_2a,ccnes_2b,ccnes_2c,ccnes_2d,ccnes_2e,ccnes_2f,ccnes_3a,ccnes_3b,ccnes_3c,ccnes_3d,ccnes_3e,ccnes_3f,ccnes_4a,ccnes_4b,ccnes_4c,ccnes_4d,ccnes_4e,ccnes_4f,ccnes_5a,ccnes_5b,ccnes_5c,ccnes_5d,ccnes_5e,ccnes_5f,ccnes_6a,ccnes_6b,ccnes_6s,ccnes_6d,ccnes_6e,ccnes_6f,ccnes_7a,ccnes_7b,ccnes_7c,ccnes_7d,ccnes_7e,ccnes_7f,ccnes_8a,ccnes_8b,ccnes_8c,ccnes_8d,ccnes_8e,ccnes_8f,ccnes_9a,ccnes_9b,ccnes_9c,ccnes_9d,ccnes_9e,ccnes_9f,ccnes_n,ccnes_p,quest_instruct,respond,subjectkey_mother,subjectkey_father,visit
MOM_GUID_90001,90001_mother,404,6-Jan-18,FALSE,7,4,6,4,6,7,1,6,3,7,7,1,5,5,7,2,7,7,4,6,2,1,7,5,6,7,2,1,1,6,4,2,1,5,6,6,6,2,1,1,1,6,1,5,4,2,6,6,6,1,1,6,7,5,3,1,6,7,7,7,2,4,1,7,7,7,7,7,7,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM_GUID_90002,90002_mother,418,3-Oct-19,FALSE,1,2,7,3,7,7,3,7,2,5,7,1,1,1,4,3,7,7,1,7,1,1,7,7,7,7,1,1,1,7,4,1,1,1,6,7,4,6,3,1,1,7,1,3,6,1,5,4,7,1,1,7,1,7,1,1,7,5,7,4,1,4,1,6,7,7,7,7,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM_GUID_90003,90003_mother,444,29-Nov-18,FALSE,4,1,7,1,5,7,2,4,1,7,7,1,2,1,7,4,7,4,1,7,2,1,7,7,6,7,1,2,4,7,6,1,7,1,7,7,7,7,3,1,1,7,1,1,4,5,3,5,7,1,1,7,2,7,6,2,6,4,7,6,3,2,1,7,5,7,7,7,7,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM_GUID_90004,90004_mother,427,3-Nov-18,FALSE,3,1,5,1,3,7,3,5,2,6,6,2,1,2,7,5,5,4,1,4,1,1,7,4,4,5,1,1,2,4,7,2,1,1,4,2,4,3,1,1,1,4,1,4,6,1,2,4,6,1,1,7,1,4,4,1,5,7,7,4,2,6,1,3,7,4,7,5,6,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM_GUID_90005,90005_mother,460,18-May-18,FALSE,3,1,7,5,3,7,1,6,2,6,6,1,2,1,6,5,4,5,1,4,3,1,7,5,7,6,1,1,2,6,7,2,2,1,5,6,6,5,2,1,1,6,1,1,3,3,3,6,6,1,1,7,1,7,3,,7,7,7,6,6,5,1,6,7,5,6,5,7,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM_GUID_10001,10001_mother,459,14-Sep-18,FALSE,4,1,7,3,3,7,2,5,1,7,5,1,1,1,7,4,5,3,1,7,2,1,7,7,7,7,1,1,2,7,6,2,1,1,6,7,7,6,1,2,1,5,1,2,4,2,2,7,6,2,1,7,2,6,2,1,4,7,7,7,3,4,1,6,7,6,7,6,7,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM_GUID_10002,10002_mother,463,4-Oct-19,FALSE,6,1,6,6,6,6,2,6,1,6,6,2,1,1,6,6,6,6,1,6,6,1,6,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,2,1,1,6,2,2,6,1,2,2,6,1,1,6,1,6,6,1,6,6,6,6,6,6,1,6,6,6,6,6,6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM_GUID_10003,10003_mother,374,14-Jul-19,FALSE,5,4,3,3,3,3,3,4,4,3,2,4,4,4,4,4,4,4,6,3,3,6,7,5,4,4,4,4,4,3,3,4,4,3,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM_GUID_10004,10004_mother,382,14-Aug-19,FALSE,7,2,6,2,7,7,1,6,1,6,7,1,1,1,6,3,7,6,1,6,1,1,7,7,6,6,1,1,3,7,6,1,1,1,7,7,5,6,1,1,1,6,1,1,6,1,1,4,7,1,1,7,1,7,6,1,6,7,6,6,1,4,1,5,5,6,6,6,7,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM_GUID_10005,10005_mother,394,15-Jan-18,FALSE,4,1,7,2,5,7,1,7,1,7,7,1,1,1,7,7,7,1,1,6,3,1,7,7,7,7,1,1,1,7,6,1,1,1,5,7,7,4,1,1,1,6,1,2,4,1,1,7,7,1,1,7,1,4,3,1,3,6,7,7,2,3,1,6,6,6,7,7,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
